code,sector
002663,建筑建材
002664,电器行业
002665,电器行业
002666,化工行业
002667,机械行业
002668,家电行业
002669,化工行业
002670,电器行业
002671,建筑建材
002672,环保行业
002673,金融行业
002674,服装鞋类
002675,生物制药
002676,塑料制品
002677,家电行业
002679,农林牧渔
002680,机械行业
002681,家电行业
002682,交通运输
002683,化工行业
002684,电器行业
002685,机械行业
002686,机械行业
002687,服装鞋类
002688,生物制药
002689,交通运输
002690,机械行业
002691,机械行业
002692,电力行业
002693,生物制药
002694,塑料制品
002695,食品行业
002696,农林牧渔
002697,商业百货
002698,机械行业
002700,供水供气
002701,印刷包装
002702,食品行业
002703,汽车制造
002705,家电行业
002706,电器行业
002707,酒店旅游
002708,汽车制造
002709,化工行业
002710,其它行业
002711,交通运输
002712,传媒娱乐
002713,建筑建材
002714,农林牧渔
002715,汽车制造
002716,有色金属
002717,建筑建材
002718,家具行业
002719,食品行业
002722,纺织机械
002723,家电行业
002724,电子器件
002725,汽车制造
002726,食品行业
002727,生物制药
002728,生物制药
002729,电子器件
002730,电器行业
002731,服装鞋类
002732,食品行业
002733,电器行业
002734,农药化肥
002735,塑料制品
002736,金融行业
002737,生物制药
002738,建筑建材
002739,传媒娱乐
002740,服装鞋类
002741,化工行业
002742,建筑建材
002743,钢铁行业
002745,电子器件
002746,农林牧渔
002747,机械行业
002748,化工行业
002749,农药化肥
002750,生物制药
002751,家具行业
002752,印刷包装
002753,其它行业
002755,其它行业
002756,其它行业
002757,其它行业
002758,其它行业
002759,其它行业
002768,橡胶和塑料制品业
002787,金属制品
002792,计算机、通信和其他电子设备制造业
002803,商业百货
002805,计算机、通信和其他电子设备制造业
002812,橡胶和塑料制品业
002823,电气机械和器材制造业
002827,化学原料和化学制品制造业
002837,专用机械
002840,农副食品加工业
002842,有色金属
002851,电气设备
002865,电气设备
002885,消费电子
002891,农副食品加工业
002902,消费电子
002913,消费电子
002915,化学原料和化学制品制造业
002920,计算机、通信和其他电子设备制造业
002922,电气机械和器材制造业
002938,消费电子
002943,通用机械
002957,专用机械
002969,金属制品
002979,仪器仪表制造业
002980,仪器仪表制造业
003036,专用机械
200011,其它行业
200012,其它行业
200016,其它行业
200017,其它行业
200019,其它行业
200020,其它行业
200025,其它行业
200026,其它行业
200028,其它行业
200029,其它行业
200030,其它行业
200037,其它行业
200045,其它行业
200054,其它行业
200055,其它行业
200056,其它行业
200058,其它行业
200152,其它行业
200413,其它行业
200429,其它行业
200468,其它行业
200488,其它行业
200505,其它行业
200512,其它行业
200521,其它行业
200530,其它行业
200539,其它行业
200541,其它行业
200550,其它行业
200553,其它行业
200570,其它行业
200581,其它行业
200596,其它行业
200613,其它行业
200625,其它行业
200706,其它行业
200725,其它行业
200726,其它行业
200761,其它行业
200771,其它行业
200869,其它行业
200992,其它行业
300001,发电设备
300002,电子信息
300003,医疗器械
300004,发电设备
300005,服装鞋类
300006,生物制药
300007,仪器仪表
300008,船舶制造
300009,生物制药
300010,电子信息
300011,交通运输
300012,仪器仪表
300013,交通运输
300014,电子器件
300015,医疗器械
300016,生物制药
300017,电子信息
300018,发电设备
300019,化工行业
300020,电子信息
300021,农林牧渔
300022,商业百货
300023,机械行业
300024,机械行业
300025,电子信息
300026,生物制药
300027,传媒娱乐
300028,电子信息
300029,电子器件
300030,医疗器械
300031,化工行业
300032,电子器件
300033,电子信息
300034,有色金属
300035,机械行业
300036,电子信息
300037,化工行业
300038,电子信息
300039,生物制药
300040,发电设备
300041,化工行业
300042,电子信息
300044,电子信息
300045,电子信息
300046,电子器件
300047,电子信息
300048,发电设备
300049,生物制药
300050,电子信息
300051,电子信息
300052,电子信息
300053,电子器件
300054,化工行业
300055,环保行业
300056,机械行业
300057,印刷包装
300058,印刷包装
300059,电子信息
300061,医疗器械
300062,发电设备
300063,化工行业
300064,其它行业
300065,电子信息
300066,仪器仪表
300067,化工行业
300068,电器行业
300069,发电设备
300070,环保行业
300071,印刷包装
300072,化工行业
300073,其它行业
300074,电子信息
300075,电子信息
300076,电子信息
300077,电子器件
300078,电子器件
300079,电子信息
300080,建筑建材
300081,电子信息
300082,化工行业
300083,电子器件
300084,石油行业
300085,电子信息
300086,生物制药
300087,农林牧渔
300088,电子器件
300089,陶瓷行业
300090,机械行业
300091,机械行业
300092,机械行业
300093,玻璃行业
300094,农林牧渔
300095,机械行业
300096,电子信息
300097,仪器仪表
300098,电子信息
300099,仪器仪表
300100,汽车制造
300101,电子信息
300102,电子器件
300103,机械行业
300104,电子信息
300105,仪器仪表
300106,农林牧渔
300107,化工行业
300108,化工行业
300109,化工行业
300110,生物制药
300111,电子器件
300112,仪器仪表
300113,电子信息
300114,电子器件
300115,电子器件
300116,机械行业
300117,建筑建材
300118,电子器件
300119,生物制药
300120,发电设备
300121,化工行业
300122,生物制药
300123,船舶制造
300124,仪器仪表
300125,发电设备
300126,机械行业
300127,电子器件
300128,电子器件
300129,发电设备
300130,电子信息
300131,电子器件
300132,化工行业
300133,传媒娱乐
300134,电子信息
300135,化工行业
300136,电子信息
300137,仪器仪表
300138,食品行业
300139,电子器件
300140,电器行业
300141,发电设备
300142,生物制药
300143,农林牧渔
300144,酒店旅游
300145,机械行业
300146,食品行业
300147,生物制药
300148,传媒娱乐
300149,食品行业
300150,电子信息
300151,机械行业
300152,机械行业
300153,发电设备
300154,电子器件
300155,电子器件
300156,环保行业
300157,石油行业
300158,生物制药
300159,机械行业
300160,玻璃行业
300161,机械行业
300162,电子器件
300163,建筑建材
300164,石油行业
300165,仪器仪表
300166,电子信息
300167,电子信息
300168,电子信息
300169,塑料制品
300170,电子信息
300171,医疗器械
300172,环保行业
300173,机械行业
300174,化工行业
300175,食品行业
300176,汽车制造
300177,电子信息
300178,酒店旅游
300179,其它行业
300180,化纤行业
300181,生物制药
300182,电子信息
300183,电子信息
300184,电子器件
300185,机械行业
300186,农林牧渔
300187,环保行业
300188,电子信息
300189,农林牧渔
300190,环保行业
300191,石油行业
300192,化工行业
300193,机械行业
300194,生物制药
300195,机械行业
300196,玻璃行业
300197,环保行业
300198,塑料制品
300199,生物制药
300200,化工行业
300201,机械行业
300202,机械行业
300203,仪器仪表
300204,生物制药
300205,电子器件
300206,医疗器械
300207,电子器件
300208,发电设备
300209,电子信息
300210,机械行业
300211,电子信息
300212,电子信息
300213,电子信息
300214,化工行业
300215,电子器件
300216,医疗器械
300217,电器行业
300218,塑料制品
300219,电子器件
300220,电子器件
300221,塑料制品
300222,电器行业
300223,电子器件
300224,电子器件
300225,化工行业
300226,电子信息
300227,电子器件
300228,机械行业
300229,电子信息
300230,塑料制品
300231,电子信息
300232,电子器件
300233,生物制药
300234,陶瓷行业
300235,电子信息
300236,化工行业
300237,化工行业
300238,医疗器械
300239,生物制药
300240,交通运输
300241,电子器件
300242,电子器件
300243,化工行业
300244,医疗器械
300245,电子信息
300246,医疗器械
300247,医疗器械
300248,电子信息
300249,机械行业
300250,电子信息
300251,传媒娱乐
300252,电器行业
300253,电子信息
300254,生物制药
300255,生物制药
300256,电子器件
300257,机械行业
300258,汽车制造
300259,仪器仪表
300260,机械行业
300261,农药化肥
300262,环保行业
300263,机械行业
300264,电子信息
300265,电器行业
300266,机械行业
300267,生物制药
300268,农林牧渔
300269,电子器件
300270,电子信息
300271,电子信息
300272,机械行业
300273,医疗器械
300274,电器行业
300275,电子信息
300276,机械行业
300277,电子信息
300278,机械行业
300279,电子器件
300280,机械行业
300281,机械行业
300282,电子信息
300283,电器行业
300284,建筑建材
300285,化工行业
300286,仪器仪表
300287,电子信息
300288,电子信息
300289,生物制药
300290,电子信息
300291,传媒娱乐
300292,电子信息
300293,机械行业
300294,生物制药
300295,电子信息
300296,电子器件
300297,电子信息
300298,医疗器械
300299,电子信息
300300,电子信息
300301,电子器件
300302,电子信息
300303,电子器件
300304,汽车制造
300305,塑料制品
300306,仪器仪表
300307,机械行业
300308,机械行业
300309,机械行业
300310,电子信息
300311,电子信息
300312,电子信息
300313,农林牧渔
300314,医疗器械
300315,电子信息
300316,机械行业
300317,电子器件
300318,医疗器械
300319,电子器件
300320,化工行业
300321,塑料制品
300322,电子信息
300323,电子器件
300324,电子信息
300325,塑料制品
300326,医疗器械
300327,电子器件
300330,电子信息
300331,电子器件
300332,环保行业
